,CAGR,Volatility,Sharpe_Ratio,Max_Drawdown,Calmar_Ratio
Bench_SP500,0.11143079654626686,0.14652814173455703,0.6266446097079282,-0.5094876760691069,0.2187114660083601
Bench_6040,0.0924738998102248,0.09087997128007047,0.7465937765228184,-0.28875172077211647,0.3202540215620236
RP_Unlevered,0.06583416433592859,0.05901648660752628,0.6896601637104481,-0.1645673913226952,0.4000437985119201
RP_Academic,0.12865642055782422,0.1609386344424525,0.6813790144351473,-0.4073457383616224,0.31584084094089404
RP_Retail,0.08866125758112875,0.0971528835065915,0.6685024268203241,-0.24606500117879687,0.36031640890166783
