,Window,MDD_Trend,MDD_Naive,Diff
0,6,-0.07813272464926944,-0.17893298999757254,0.1008002653483031
1,8,-0.09048494625832887,-0.17893298999757254,0.08844804373924367
2,10,-0.11001349735422528,-0.17893298999757254,0.06891949264334726
3,12,-0.06455598964813919,-0.17893298999757254,0.11437700034943335
4,15,-0.07455875644445281,-0.17893298999757254,0.10437423355311973
5,18,-0.0783579328121638,-0.17893298999757254,0.10057505718540874
6,24,-0.08388688736973524,-0.17893298999757254,0.0950461026278373
