,Regime,Avg_Corr,Naive_Ret,ERC_Ret,Diff_Ann
0,Normal (Low Corr),0.11807781127352308,0.07948450331531612,0.07621221756809185,-0.003272285747224276
1,Stress (High Corr),0.461408196817921,0.006585604151258812,0.00024554408882492023,-0.006340060062433896
