Strategy,CAGR,Volatility,Sharpe,Max_Drawdown,Calmar
Naive RP,0.08866125758112875,0.0971528835065915,0.9263401377103612,-0.24606500117879704,0.3603164089016676
ERC RP,0.08437316982819576,0.09804469183297017,0.8782509037172697,-0.2635159480100772,0.3201824043870362
Bench 60/40,0.0924738998102248,0.09087997128007047,1.022193276862321,-0.2887517207721165,0.32025402156202354
