Period,RP Retail Sharpe,RP Retail CAGR,RP Retail MaxDD,60/40 Bench Sharpe,60/40 Bench CAGR,60/40 Bench MaxDD
1. Great Moderation (1993-1999),0.6456165010991765,0.10513685171288079,-0.1193779945104122,1.1917655399774347,0.15599354884245686,-0.07701233136230379
2. DotCom & GFC Crisis (2000-2009),0.6298020659958954,0.0903474729718381,-0.2396613349091422,0.05090667865955562,0.02714190979689457,-0.2887517207721163
3. Low Vol/Rate Era (2010-2019),1.1907734051322836,0.08428918657263296,-0.08833610036536654,1.4434867466452732,0.10456106862388848,-0.06880276167604749
4. Inflation Shock (2020-2025),0.10203526996543916,0.03212295222975858,-0.24606500117879704,0.5906879477908135,0.09292822041027349,-0.20947387908815596
