Strategy,CAGR (Pre-Tax),CAGR (After-Tax),Tax Rate Used,Volatility,Sharpe,Max_Drawdown
Naive RP (Net),0.0882323308070243,0.07058586464561944,0.2,0.09717277120924125,0.9241861137513511,-0.246147137653831
ERC RP (Net),0.08393943927800418,0.06715155142240335,0.2,0.09807320552064724,0.8759012714399163,-0.26366597912066303
Trend RP (Net),0.09045682441297531,0.06331977708908272,0.3,0.07204946004232586,1.2448460940810178,-0.08879590968481166
Bench 60/40,0.09224331892285997,0.07379465513828798,0.2,0.09087997128007047,1.022193276862321,-0.2887517207721165
